,timestamp,dap
12,1515675600,54.61
13,1515679200,54.83
14,1515682800,54.74
15,1515686400,54.01
16,1515690000,54.96
17,1515693600,57.47
18,1515697200,57.83
19,1515700800,59.08
20,1515704400,63.03
21,1515708000,62.55
22,1515711600,58.17
23,1515715200,61.59
0,1515718800,55.57
1,1515722400,49.0
2,1515726000,46.15
3,1515729600,46.01
4,1515733200,46.13
5,1515736800,47.29
6,1515740400,56.0
7,1515744000,61.97
8,1515747600,66.58
9,1515751200,66.89
10,1515754800,67.19
11,1515758400,66.34
12,1515762000,63.82
13,1515765600,63.86
14,1515769200,61.59
15,1515772800,61.58
16,1515776400,61.59
17,1515780000,61.97
18,1515783600,66.36
19,1515787200,66.89
20,1515790800,66.89
21,1515794400,66.16
22,1515798000,63.57
23,1515801600,58.15
0,1515805200,56.02
1,1515808800,48.14
2,1515812400,46.6
3,1515816000,46.1
4,1515819600,46.2
5,1515823200,46.6
6,1515826800,47.13
7,1515830400,50.05
8,1515834000,50.98
9,1515837600,58.16
10,1515841200,60.76
11,1515844800,60.5
12,1515848400,59.5
13,1515852000,59.07
14,1515855600,58.7
15,1515859200,55.57
16,1515862800,54.99
17,1515866400,56.01
18,1515870000,61.0
19,1515873600,61.97
20,1515877200,63.82
21,1515880800,62.11
22,1515884400,59.54
23,1515888000,61.24
0,1515891600,48.7
1,1515895200,45.27
2,1515898800,43.92
3,1515902400,42.1
4,1515906000,42.09
5,1515909600,42.1
6,1515913200,43.92
7,1515916800,45.01
8,1515920400,45.21
9,1515924000,47.66
10,1515927600,53.9
11,1515931200,54.8
12,1515934800,54.8
13,1515938400,58.11
14,1515942000,58.53
15,1515945600,53.9
16,1515949200,53.15
17,1515952800,54.8
18,1515956400,60.82
19,1515960000,64.97
20,1515963600,67.19
21,1515967200,67.92
22,1515970800,66.01
23,1515974400,52.32
0,1515978000,60.82
1,1515981600,53.6
2,1515985200,47.66
3,1515988800,46.14
4,1515992400,45.69
5,1515996000,47.13
6,1515999600,55.55
7,1516003200,60.9
8,1516006800,64.99
9,1516010400,66.01
10,1516014000,65.03
11,1516017600,62.07
12,1516021200,61.01
13,1516024800,60.9
14,1516028400,58.7
15,1516032000,57.83
16,1516035600,56.0
17,1516039200,57.83
18,1516042800,61.59
19,1516046400,64.28
20,1516050000,65.23
21,1516053600,62.4
22,1516057200,58.15
23,1516060800,45.27
0,1516064400,44.5
1,1516068000,43.92
2,1516071600,39.47
3,1516075200,38.64
4,1516078800,39.04
5,1516082400,39.1
6,1516086000,43.03
7,1516089600,51.89
8,1516093200,60.82
9,1516096800,63.45
10,1516100400,61.99
11,1516104000,60.32
12,1516107600,58.03
13,1516111200,56.16
14,1516114800,54.5
15,1516118400,51.95
16,1516122000,49.43
17,1516125600,52.1
18,1516129200,59.02
19,1516132800,61.59
20,1516136400,63.45
21,1516140000,61.59
22,1516143600,52.69
23,1516147200,58.7
0,1516150800,42.64
1,1516154400,40.0
2,1516158000,36.18
3,1516161600,35.67
4,1516165200,35.45
5,1516168800,36.45
6,1516172400,41.51
7,1516176000,47.94
8,1516179600,58.7
9,1516183200,61.59
10,1516186800,61.59
11,1516190400,56.35
12,1516194000,54.97
13,1516197600,54.97
14,1516201200,54.83
15,1516204800,54.72
16,1516208400,54.73
17,1516212000,56.58
18,1516215600,61.97
19,1516219200,63.8
20,1516222800,65.5
21,1516226400,65.5
22,1516230000,61.1
23,1516233600,60.07
0,1516237200,59.91
1,1516240800,52.0
2,1516244400,47.13
3,1516248000,45.65
4,1516251600,45.19
5,1516255200,45.96
6,1516258800,54.97
7,1516262400,58.7
8,1516266000,60.89
9,1516269600,61.59
10,1516273200,61.37
11,1516276800,60.89
12,1516280400,60.07
13,1516284000,60.41
14,1516287600,59.9
15,1516291200,59.86
16,1516294800,59.81
17,1516298400,59.96
18,1516302000,61.2
19,1516305600,61.91
20,1516309200,62.39
21,1516312800,61.6
22,1516316400,60.89
23,1516320000,58.49
